Timestamp_Seconds,Delta,Instant_Velocity,Smoothed_Velocity,Gesture_Type,App_Offset,App_Target,App_Velocity
0.9177,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.9198,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.9227,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.9263,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.9279,0,0.00,0.00,APP_STATE,1333.57,1337.60,15.89
0.9320,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.9341,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.9371,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.9402,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.9428,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.9458,0,0.00,0.00,APP_STATE,1333.59,1337.60,15.86
0.9484,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.9513,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.9528,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.9569,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.9593,0,0.00,0.00,APP_STATE,1333.59,1337.60,15.86
0.9620,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.9645,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.9686,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.9716,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.9742,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.9762,0,0.00,0.00,APP_STATE,1333.57,1337.60,15.89
0.9793,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.9822,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.9877,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.9910,0,0.00,0.00,APP_STATE,1333.59,1337.60,15.86
0.9939,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.9975,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.9995,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
1.0035,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
1.0060,0,0.00,0.00,APP_STATE,1333.59,1337.60,15.86
1.0091,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
1.0122,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
1.0146,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
